<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
09.10.2018;116660;116720;116660;116690
09.10.2018;116690;116700;116590;116690
09.10.2018;116680;116710;116640;116660
09.10.2018;116690;116780;116690;116780
09.10.2018;116780;116800;116750;116780
09.10.2018;116770;116820;116760;116760
09.10.2018;116760;116830;116720;116730
09.10.2018;116730;116760;116670;116710
09.10.2018;116710;116780;116690;116700
09.10.2018;116700;116700;116480;116530
09.10.2018;116530;116600;116530;116570
09.10.2018;116570;116590;116510;116570
09.10.2018;116570;116580;116530;116570
09.10.2018;116580;116580;116540;116560
09.10.2018;116560;116570;116540;116540
09.10.2018;116540;116540;116500;116510
09.10.2018;116510;116540;116460;116510
09.10.2018;116510;116540;116500;116540
09.10.2018;116530;116580;116520;116580
09.10.2018;116570;116590;116500;116500
09.10.2018;116500;116570;116500;116570
09.10.2018;116570;116630;116550;116630
09.10.2018;116630;116630;116520;116520
09.10.2018;116510;116550;116500;116520
09.10.2018;116520;116570;116510;116540
09.10.2018;116540;116580;116500;116500
09.10.2018;116520;116590;116520;116570
09.10.2018;116570;116640;116560;116560
09.10.2018;116560;116570;116370;116430
09.10.2018;116450;116510;116410;116510
09.10.2018;116510;116530;116480;116520
09.10.2018;116510;116530;116490;116530
09.10.2018;116520;116530;116460;116490
09.10.2018;116500;116540;116480;116540
09.10.2018;116540;116580;116520;116570
09.10.2018;116570;116690;116550;116680
09.10.2018;116680;116880;116680;116820
09.10.2018;116820;116850;116770;116780
09.10.2018;116770;116790;116730;116770
09.10.2018;116770;116790;116730;116740
09.10.2018;116730;116740;116690;116700
09.10.2018;116710;116790;116710;116760
09.10.2018;116750;116790;116750;116770
09.10.2018;116760;116770;116720;116730
09.10.2018;116750;116760;116720;116740
09.10.2018;116730;116800;116730;116800
09.10.2018;116790;116810;116750;116760
09.10.2018;116750;116790;116730;116760
09.10.2018;116770;116780;116710;116730
09.10.2018;116740;116770;116740;116750
09.10.2018;116760;116810;116750;116800
09.10.2018;116800;116810;116760;116760
09.10.2018;116760;116770;116690;116720
09.10.2018;116720;116750;116620;116710
09.10.2018;116710;116740;116700;116720
09.10.2018;116730;116750;116640;116690
09.10.2018;116690;116720;116630;116640
09.10.2018;116630;116690;116570;116690
09.10.2018;116680;116720;116670;116690
09.10.2018;116700;116720;116670;116710
09.10.2018;116720;116740;116700;116710
09.10.2018;116720;116790;116720;116750
09.10.2018;116750;116780;116720;116770
09.10.2018;116790;116810;116770;116790
09.10.2018;116790;116810;116780;116790
09.10.2018;116790;116800;116710;116740
09.10.2018;116720;116760;116700;116750
09.10.2018;116750;116750;116690;116710
09.10.2018;116730;116730;116620;116620
09.10.2018;116620;116700;116620;116680
09.10.2018;116690;116710;116650;116710
09.10.2018;116720;116740;116690;116720
09.10.2018;116730;116780;116720;116750
09.10.2018;116770;116790;116740;116760
09.10.2018;116750;116770;116740;116760
09.10.2018;116750;116770;116750;116760
09.10.2018;116750;116800;116750;116800
09.10.2018;116800;116840;116790;116820
09.10.2018;116810;116820;116770;116770
09.10.2018;116770;116790;116740;116740
09.10.2018;116760;116810;116740;116800
09.10.2018;116800;116830;116780;116830
09.10.2018;116830;116990;116830;116970
09.10.2018;116980;117030;116930;117000
09.10.2018;117000;117010;116920;116930
09.10.2018;116930;116980;116920;116930
09.10.2018;116940;117010;116940;117010
09.10.2018;117010;117020;116920;116950
09.10.2018;116950;117000;116930;116990
09.10.2018;116970;116970;116890;116920
09.10.2018;116930;116940;116900;116930
09.10.2018;116940;116940;116880;116890
09.10.2018;116890;116930;116880;116920
09.10.2018;116900;116910;116870;116880
09.10.2018;116880;116890;116850;116850
09.10.2018;116860;116870;116810;116860
09.10.2018;116860;116910;116840;116890
09.10.2018;116890;116950;116860;116930
09.10.2018;116940;116950;116850;116850
09.10.2018;116850;116880;116820;116850
09.10.2018;116860;116910;116860;116900
09.10.2018;116900;116950;116880;116930
09.10.2018;116920;116930;116850;116910
09.10.2018;116900;116920;116880;116920
09.10.2018;116920;116920;116880;116880
09.10.2018;116870;116890;116850;116850
09.10.2018;116870;116890;116820;116840
09.10.2018;116820;116840;116670;116680
09.10.2018;116680;116780;116680;116770
09.10.2018;116760;116770;116690;116720
09.10.2018;116700;116760;116700;116740
09.10.2018;116750;116770;116710;116730
09.10.2018;116740;116770;116710;116750
09.10.2018;116740;116750;116690;116690
09.10.2018;116700;116700;116550;116570
09.10.2018;116570;116640;116560;116580
09.10.2018;116590;116600;116470;116510
09.10.2018;116510;116540;116420;116520
09.10.2018;116510;116530;116460;116480
09.10.2018;116490;116510;116440;116460
09.10.2018;116460;116520;116460;116470
09.10.2018;116490;116530;116490;116520
09.10.2018;116510;116540;116470;116470
09.10.2018;116470;116490;116410;116460
09.10.2018;116460;116500;116430;116460
09.10.2018;116470;116480;116380;116390
09.10.2018;116390;116410;116270;116380
09.10.2018;116380;116400;116330;116390
09.10.2018;116400;116400;116310;116370
09.10.2018;116370;116390;116310;116380
09.10.2018;116380;116380;116340;116380
09.10.2018;116380;116430;116360;116420
09.10.2018;116410;116410;116320;116400
09.10.2018;116380;116410;116340;116400
09.10.2018;116400;116400;116280;116340
09.10.2018;116350;116360;116280;116300
09.10.2018;116300;116360;116300;116330
09.10.2018;116330;116430;116330;116400
09.10.2018;116410;116410;116360;116370
09.10.2018;116370;116400;116330;116360
09.10.2018;116380;116410;116330;116360
09.10.2018;116370;116400;116300;116310
09.10.2018;116310;116320;116140;116240
09.10.2018;116240;116260;116160;116180
09.10.2018;116200;116200;116140;116190
09.10.2018;116180;116190;116120;116140
09.10.2018;116150;116180;116120;116170
09.10.2018;116180;116190;116050;116060
09.10.2018;116070;116110;116000;116000
09.10.2018;116000;116050;115940;116040
09.10.2018;116040;116090;116000;116080
09.10.2018;116070;116160;116070;116110
09.10.2018;116110;116180;116100;116160
09.10.2018;116160;116190;116140;116180
09.10.2018;116180;116180;116140;116150
09.10.2018;116150;116220;116150;116190
09.10.2018;116190;116270;116190;116250
09.10.2018;116250;116270;116140;116140
09.10.2018;116150;116180;116100;116100
09.10.2018;116100;116180;116090;116180
09.10.2018;116180;116230;116160;116210
09.10.2018;116210;116240;116150;116160
09.10.2018;116170;116180;116090;116140
09.10.2018;116140;116170;116120;116140
09.10.2018;116130;116240;116090;116190
09.10.2018;116190;116240;116190;116220
09.10.2018;116220;116230;116180;116180
09.10.2018;116180;116180;116130;116140
09.10.2018;116140;116220;116140;116190
09.10.2018;116180;116220;116180;116220
09.10.2018;116210;116220;116180;116210
09.10.2018;116200;116200;116100;116100
09.10.2018;116100;116110;116030;116040
09.10.2018;116040;116090;116010;116080
09.10.2018;116070;116100;116040;116070
09.10.2018;116070;116130;116070;116130
09.10.2018;116120;116150;116090;116150
09.10.2018;116140;116140;116020;116050
09.10.2018;116070;116130;116070;116120
09.10.2018;116120;116130;116080;116100
09.10.2018;116100;116100;116050;116060
09.10.2018;116070;116220;116070;116200
09.10.2018;116180;116240;116170;116200
09.10.2018;116190;116220;116150;116150
09.10.2018;116150;116200;116130;116190
09.10.2018;116170;116220;116110;116160
09.10.2018;116160;116210;116150;116180
09.10.2018;116170;116210;116160;116180
09.10.2018;116200;116230;116170;116190
09.10.2018;116200;116230;116170;116170
09.10.2018;116170;116170;116110;116160
09.10.2018;116180;116200;116160;116160
09.10.2018;116150;116300;116150;116290
09.10.2018;116290;116310;116260;116290
09.10.2018;116300;116360;116280;116360
09.10.2018;116350;116360;116290;116330
09.10.2018;116350;116380;116320;116370
09.10.2018;116370;116420;116340;116350
09.10.2018;116370;116410;116350;116400
09.10.2018;116410;116460;116390;116440
09.10.2018;116440;116460;116400;116410
09.10.2018;116410;116480;116410;116460
09.10.2018;116450;116450;116380;116380
09.10.2018;116390;116400;116360;116360
09.10.2018;116360;116440;116360;116370
09.10.2018;116380;116380;116360;116360
09.10.2018;116380;116430;116370;116430
09.10.2018;116410;116420;116270;116300
09.10.2018;116300;116330;116280;116320
09.10.2018;116300;116310;116240;116270
09.10.2018;116260;116260;116130;116190
09.10.2018;116190;116270;116180;116240
09.10.2018;116240;116270;116190;116210
09.10.2018;116210;116230;116150;116180
09.10.2018;116170;116190;116140;116160
09.10.2018;116140;116220;116130;116180
09.10.2018;116180;116190;116060;116080
09.10.2018;116090;116090;116000;116010
09.10.2018;116020;116030;115870;115920
09.10.2018;115920;115960;115900;115940
09.10.2018;115950;115960;115910;115960
09.10.2018;115960;115960;115900;115930
09.10.2018;115920;115940;115760;115770
09.10.2018;115770;115800;115720;115730
09.10.2018;115730;115760;115640;115690
09.10.2018;115690;115720;115650;115650
09.10.2018;115650;115740;115640;115730
09.10.2018;115730;115740;115640;115640
09.10.2018;115660;115690;115600;115680
09.10.2018;115680;115700;115660;115700
09.10.2018;115690;115740;115690;115710
09.10.2018;115690;115730;115680;115700
09.10.2018;115690;115710;115630;115710
09.10.2018;115710;115730;115640;115650
09.10.2018;115660;115700;115640;115640
09.10.2018;115650;115660;115620;115620
09.10.2018;115630;115640;115600;115620
09.10.2018;115620;115640;115610;115610
09.10.2018;115620;115690;115600;115630
09.10.2018;115650;115660;115610;115630
09.10.2018;115630;115670;115520;115530
09.10.2018;115530;115590;115510;115570
09.10.2018;115580;115690;115570;115680
09.10.2018;115680;115760;115650;115670
09.10.2018;115660;115660;115610;115620
09.10.2018;115620;115620;115460;115550
09.10.2018;115560;115610;115520;115520
09.10.2018;115510;115540;115490;115540
09.10.2018;115550;115660;115490;115640
09.10.2018;115640;115650;115610;115610
09.10.2018;115610;115640;115570;115590
09.10.2018;115600;115640;115550;115580
09.10.2018;115590;115620;115540;115550
09.10.2018;115550;115580;115490;115570
09.10.2018;115550;115650;115530;115630
09.10.2018;115640;115650;115600;115600
09.10.2018;115600;115680;115590;115650
09.10.2018;115650;115660;115510;115580
09.10.2018;115570;115590;115490;115580
09.10.2018;115570;115600;115540;115570
09.10.2018;115560;115560;115480;115520
09.10.2018;115520;115530;115430;115430
09.10.2018;115440;115480;115410;115450
09.10.2018;115450;115490;115350;115410
09.10.2018;115420;115430;115380;115390
09.10.2018;115390;115430;115380;115430
09.10.2018;115430;115520;115430;115510
09.10.2018;115510;115530;115430;115440
09.10.2018;115450;115530;115450;115520
09.10.2018;115520;115550;115510;115540
09.10.2018;115540;115590;115500;115570
09.10.2018;115580;115580;115500;115510
09.10.2018;115510;115510;115410;115420
09.10.2018;115420;115440;115280;115380
09.10.2018;115380;115410;115360;115380
09.10.2018;115370;115410;115330;115340
09.10.2018;115340;115360;115260;115300
09.10.2018;115300;115310;115200;115270
09.10.2018;115280;115380;115270;115360
09.10.2018;115360;115360;115330;115350
09.10.2018;115350;115360;115280;115330
09.10.2018;115320;115390;115300;115380
09.10.2018;115380;115390;115340;115380
09.10.2018;115380;115380;115280;115320
09.10.2018;115320;115330;115290;115320
09.10.2018;115330;115360;115320;115340
09.10.2018;115340;115400;115340;115370
09.10.2018;115370;115400;115340;115350
09.10.2018;115350;115410;115350;115380
09.10.2018;115370;115440;115350;115430
09.10.2018;115420;115520;115410;115490
09.10.2018;115490;115490;115430;115440
09.10.2018;115440;115440;115390;115400
09.10.2018;115400;115470;115390;115460
09.10.2018;115440;115480;115430;115460
09.10.2018;115460;115470;115410;115460
09.10.2018;115460;115570;115460;115550
09.10.2018;115550;115580;115520;115520
09.10.2018;115520;115530;115510;115510
09.10.2018;115510;115520;115470;115520
09.10.2018;115500;115510;115450;115460
09.10.2018;115470;115490;115420;115460
09.10.2018;115460;115470;115440;115450
09.10.2018;115450;115480;115430;115450
09.10.2018;115450;115500;115440;115480
09.10.2018;115480;115480;115440;115480
09.10.2018;115480;115480;115420;115460
09.10.2018;115470;115500;115450;115490
09.10.2018;115480;115520;115470;115510
09.10.2018;115520;115590;115520;115570
09.10.2018;115570;115650;115550;115610
09.10.2018;115600;115620;115570;115600
09.10.2018;115600;115660;115580;115590
09.10.2018;115580;115580;115500;115550
09.10.2018;115560;115570;115520;115560
09.10.2018;115560;115560;115520;115540
09.10.2018;115540;115630;115540;115590
09.10.2018;115590;115660;115560;115610
09.10.2018;115620;115660;115610;115640
09.10.2018;115630;115660;115600;115610
09.10.2018;115610;115630;115580;115580
09.10.2018;115590;115640;115580;115640
09.10.2018;115620;115640;115600;115620
09.10.2018;115620;115630;115600;115610
09.10.2018;115610;115650;115610;115620
09.10.2018;115620;115640;115560;115570
09.10.2018;115560;115600;115540;115540
